"V1","results.id","results.vote_count","results.vote_average","results.popularity","results.release_date","Month","Year","key"
12,271110,14305,7.4,42.638,"2016-04-27","Jan",2017,"271110_Jan_2017"
28,271110,14305,7.4,42.638,"2016-04-27","Jan",2017,"271110_Jan_2017"
878,271110,14305,7.4,42.638,"2016-04-27","Jan",2017,"271110_Jan_2017"
53,324552,6107,7,35.805,"2017-02-08","Jan",2017,"324552_Jan_2017"
28,324552,6107,7,35.805,"2017-02-08","Jan",2017,"324552_Jan_2017"
80,324552,6107,7,35.805,"2017-02-08","Jan",2017,"324552_Jan_2017"
53,156022,5082,7.2,31.718,"2014-09-24","Jan",2017,"156022_Jan_2017"
28,156022,5082,7.2,31.718,"2014-09-24","Jan",2017,"156022_Jan_2017"
80,156022,5082,7.2,31.718,"2014-09-24","Jan",2017,"156022_Jan_2017"
878,131631,10239,6.8,30.152,"2014-11-18","Jan",2017,"131631_Jan_2017"
12,131631,10239,6.8,30.152,"2014-11-18","Jan",2017,"131631_Jan_2017"
53,131631,10239,6.8,30.152,"2014-11-18","Jan",2017,"131631_Jan_2017"
18,381284,4820,8,29.488,"2016-12-10","Jan",2017,"381284_Jan_2017"
36,381284,4820,8,29.488,"2016-12-10","Jan",2017,"381284_Jan_2017"
27,381288,10549,7.2,29.142,"2017-01-19","Jan",2017,"381288_Jan_2017"
53,381288,10549,7.2,29.142,"2017-01-19","Jan",2017,"381288_Jan_2017"
18,329865,10540,7.4,24.335,"2016-11-10","Jan",2017,"329865_Jan_2017"
878,329865,10540,7.4,24.335,"2016-11-10","Jan",2017,"329865_Jan_2017"
9648,329865,10540,7.4,24.335,"2016-11-10","Jan",2017,"329865_Jan_2017"
9648,419430,8962,7.5,23.213,"2017-02-24","Jan",2017,"419430_Jan_2017"
53,419430,8962,7.5,23.213,"2017-02-24","Jan",2017,"419430_Jan_2017"
27,419430,8962,7.5,23.213,"2017-02-24","Jan",2017,"419430_Jan_2017"
18,324786,6750,8.1,22.839,"2016-10-07","Jan",2017,"324786_Jan_2017"
36,324786,6750,8.1,22.839,"2016-10-07","Jan",2017,"324786_Jan_2017"
10752,324786,6750,8.1,22.839,"2016-10-07","Jan",2017,"324786_Jan_2017"
16,313297,2074,7.7,22.467,"2016-08-18","Jan",2017,"313297_Jan_2017"
12,313297,2074,7.7,22.467,"2016-08-18","Jan",2017,"313297_Jan_2017"
10751,313297,2074,7.7,22.467,"2016-08-18","Jan",2017,"313297_Jan_2017"
10749,372058,4291,8.6,21.724,"2016-08-26","Jan",2017,"372058_Jan_2017"
16,372058,4291,8.6,21.724,"2016-08-26","Jan",2017,"372058_Jan_2017"
18,372058,4291,8.6,21.724,"2016-08-26","Jan",2017,"372058_Jan_2017"
28,311324,2820,5.8,21.286,"2016-12-16","Jan",2017,"311324_Jan_2017"
12,311324,2820,5.8,21.286,"2016-12-16","Jan",2017,"311324_Jan_2017"
14,311324,2820,5.8,21.286,"2016-12-16","Jan",2017,"311324_Jan_2017"
35,313369,10213,7.9,21.169,"2016-11-29","Jan",2017,"313369_Jan_2017"
18,313369,10213,7.9,21.169,"2016-11-29","Jan",2017,"313369_Jan_2017"
10749,313369,10213,7.9,21.169,"2016-11-29","Jan",2017,"313369_Jan_2017"
18,334543,3922,8.2,21.167,"2016-11-24","Jan",2017,"334543_Jan_2017"
28,43074,3852,5.4,21.118,"2016-07-14","Jan",2017,"43074_Jan_2017"
